Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S3 Demo,Chrome 113.0.0.0,,,2023-05-15 15:48:45,2023-05-15 15:49:03,17.203s,PASSED
,,,,,,,
Test Cases/Demo Script mode,Chrome 113.0.0.0,,,2023-05-15 15:48:46,2023-05-15 15:49:03,16.787s,PASSED
"openBrowser(""https://example.testproject.io/web/"")",Chrome 113.0.0.0,,,2023-05-15 15:48:47,2023-05-15 15:48:57,10.184s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-15 15:48:57,2023-05-15 15:48:58,0.613s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Full Name_name""), ""Robert"")",Chrome 113.0.0.0,,,2023-05-15 15:48:58,2023-05-15 15:48:59,1.351s,PASSED
"setText(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/input_Password_password""), ""12345"")",Chrome 113.0.0.0,,,2023-05-15 15:48:59,2023-05-15 15:49:00,0.764s,PASSED
"click(findTestObject(""Object Repository/Demo login/Page_TestProject Demo/button_Login""))",Chrome 113.0.0.0,,,2023-05-15 15:49:00,2023-05-15 15:49:00,0.622s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 15:49:00,2023-05-15 15:49:00,0.150s,PASSED
Video,Chrome 113.0.0.0,,,2023-05-15 15:49:03,2023-05-15 15:49:03,0.002s,PASSED
